blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXDeg,fixOnset,TargetDur,TargetOnset,pstMaskOnset,RespOnset,trialNum,string,CxResp,Preq1Op,Preq2Op,Preq3Op,Preq4Op,Preq5Op,Preq6Op,positionss,positionx,positiony,pstCueCoordX
1,14,0,0,1,-1.86,1,0.24,0.6,0.84,0.94,20,{'FKDH'},F,1,1,1,1,1,1,1,-1.856,-0.5,-0.130520394
1,12,0,0,2,-0.93,1,0.24,0.6,0.84,0.94,12,{'KDHG'},D,1,1,1,1,1,1,2,-0.928,-0.5,-0.065260197
1,16,0,0,1,-1.86,1,0.24,0.6,0.84,0.94,22,{'FHPD'},F,1,1,1,1,1,1,3,0.928,-0.5,-0.130520394
1,17,0,0,2,-0.93,1,0.24,0.6,0.84,0.94,23,{'KFHG'},F,1,1,1,1,1,1,4,1.856,-0.5,-0.065260197
1,18,0,0,4,1.86,1,0.24,0.6,0.84,0.94,24,{'HKFD'},D,1,1,1,1,1,1,,,-0.5,0.130520394
1,19,0,0,4,1.86,1,0.24,0.6,0.84,0.94,25,{'DKPG'},G,1,1,1,1,1,1,,deg to norm,,0.130520394
1,20,0,0,3,0.93,1,0.24,0.6,0.84,0.94,26,{'HDKG'},K,1,1,1,1,1,1,,14.22,,0.065260197
1,21,0,0,2,-0.93,1,0.24,0.6,0.84,0.94,27,{'KFDP'},F,1,1,1,1,1,1,,,,-0.065260197
