blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXDeg,fixOnset,TargetDur,TargetOnset,pstMaskOnset,RespOnset,trialNum,string,CxResp,Preq1Op,Preq2Op,Preq3Op,Preq4Op,Preq5Op,Preq6Op,positionss,positionx,positiony,pstCueCoordX
1,13,0,0,1,-0.928,1,0.24,0.6,0.84,0.94,13,{'PG'},P,1,1,1,1,1,1,1,-0.928,-0.5,-0.065260197
1,14,0,0,1,-0.928,1,0.24,0.6,0.84,0.94,14,{'PG'},P,1,1,1,1,1,1,2,0.928,-0.5,-0.065260197
1,15,0,0,1,-0.928,1,0.24,0.6,0.84,0.94,15,{'FG'},F,1,1,1,1,1,1,3,,-0.5,-0.065260197
1,16,0,0,2,0.928,1,0.24,0.6,0.84,0.94,16,{'GK'},K,1,1,1,1,1,1,4,,-0.5,0.065260197
1,17,0,0,2,0.928,1,0.24,0.6,0.84,0.94,17,{'PK'},K,1,1,1,1,1,1,,,-0.5,0.065260197
1,18,0,0,2,0.928,1,0.24,0.6,0.84,0.94,18,{'KP'},P,1,1,1,1,1,1,,deg to norm,,0.065260197
1,19,0,0,2,0.928,1,0.24,0.6,0.84,0.94,19,{'FP'},P,1,1,1,1,1,1,,14.22,,0.065260197
1,20,0,0,1,-0.928,1,0.24,0.6,0.84,0.94,20,{'DG'},D,1,1,1,1,1,1,,,,-0.065260197
1,21,0,0,1,-0.928,1,0.24,0.6,0.84,0.94,21,{'DF'},D,1,1,1,1,1,1,,,,-0.065260197
1,22,0,0,2,0.928,1,0.24,0.6,0.84,0.94,22,{'DK'},K,1,1,1,1,1,1,,,,0.065260197
1,23,0,0,2,0.928,1,0.24,0.6,0.84,0.94,23,{'FK'},K,1,1,1,1,1,1,,,,0.065260197
1,24,0,0,2,0.928,1,0.24,0.6,0.84,0.94,24,{'PF'},F,1,1,1,1,1,1,,,,0.065260197
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
