blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXDeg,fixOnset,cueTargetISI,TargetOnset,pstMaskOnset,RespOnset,trialNum,preCueLocation,string,CxResp,CxResplowercase,overallTrialNum,Preq2Op,Preq5Op,positionss,positionx,positiony,pstCueCoordX
1,1,2,1,2,-1.16,2,0,2.050,2.17,2.27,19,1,{' .    '},.,.,19,1,0,1,-1.74,-0.5,-0.081575246
1,2,2,-1,2,-1.16,2,0.05,2.100,2.22,2.32,20,2,{' .    '},.,.,20,0,1,2,-1.16,-0.5,-0.081575246
1,3,2,0,5,1.16,2,0,2.050,2.17,2.27,21,7,{'    . '},.,.,21,1,1,3,-0.58,-0.5,0.081575246
1,4,2,0,5,1.16,2,0.05,2.100,2.22,2.32,22,7,{'    . '},.,.,22,1,1,4,0.58,-0.5,0.081575246
1,5,2,0,2,-1.16,2,0,2.050,2.17,2.27,23,7,{' .    '},.,.,23,1,1,5,1.16,-0.5,-0.081575246
1,6,2,0,2,-1.16,2,0,2.050,2.17,2.27,24,7,{' .    '},.,.,24,1,1,6,1.74,-0.5,-0.081575246
1,7,2,1,2,-1.16,2,0.05,2.100,2.22,2.32,25,1,{' .    '},.,.,25,1,0,,deg to norm,,-0.081575246
1,8,2,1,2,-1.16,2,0,2.050,2.17,2.27,26,1,{' .    '},.,.,26,1,0,,14.22,,-0.081575246
1,9,2,0,5,1.16,2,0,2.050,2.17,2.27,27,7,{'    . '},.,.,27,1,1,,,,0.081575246
1,10,2,-1,5,1.16,2,0,2.050,2.17,2.27,28,1,{'    . '},.,.,28,1,0,,,,0.081575246
1,11,2,0,2,-1.16,2,0.05,2.100,2.22,2.32,29,7,{' .    '},.,.,29,1,1,,,,-0.081575246
1,12,2,1,5,1.16,2,0,2.050,2.17,2.27,30,2,{'    . '},.,.,30,0,1,,,,0.081575246
1,13,2,-1,2,-1.16,2,0,2.050,2.17,2.27,31,2,{' .    '},.,.,31,0,1,,,,-0.081575246
1,14,2,-1,5,1.16,2,0.05,2.100,2.22,2.32,32,1,{'    . '},.,.,32,1,0,,,,0.081575246
1,15,2,1,5,1.16,2,0.05,2.100,2.22,2.32,33,2,{'    . '},.,.,33,0,1,,,,0.081575246
1,16,2,-1,2,-1.16,2,0.05,2.100,2.22,2.32,34,2,{' .    '},.,.,34,0,1,,,,-0.081575246
1,17,2,1,5,1.16,2,0.05,2.100,2.22,2.32,35,2,{'    . '},.,.,35,0,1,,,,0.081575246
1,18,2,-1,5,1.16,2,0.05,2.100,2.22,2.32,36,1,{'    . '},.,.,36,1,0,,,,0.081575246
,19,2,1,2,-1.16,2,0.05,2.100,2.22,2.32,36,1,{' .    '},.,.,37,1,0,,,,-0.081575246
,20,2,-1,5,1.16,2,0,2.050,2.17,2.27,36,1,{'    . '},.,.,38,1,0,,,,0.081575246
,21,2,0,5,1.16,2,0.05,2.100,2.22,2.32,36,7,{'    . '},.,.,39,1,1,,,,0.081575246
,22,2,-1,2,-1.16,2,0,2.050,2.17,2.27,36,2,{' .    '},.,.,40,0,1,,,,-0.081575246
,23,2,1,5,1.16,2,0,2.050,2.17,2.27,36,2,{'    . '},.,.,41,0,1,,,,0.081575246
,24,2,0,2,-1.16,2,0.05,2.100,2.22,2.32,36,7,{' .    '},.,.,42,1,1,,,,-0.081575246
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
