blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXDeg,fixOnset,cueTargetISI,TargetOnset,pstMaskOnset,RespOnset,trialNum,preCueLocation,string,CxResp,CxResplowercase,overallTrialNum,Preq2Op,Preq5Op,positionss,positionx,positiony,pstCueCoordX
1,1,2,0,2,-1.16,2,0,2.050,2.17,2.27,19,7,{' .    '},.,.,1,1,1,1,-1.74,-0.5,-0.081575246
1,2,2,1,2,-1.16,2,0,2.050,2.17,2.27,20,1,{' .    '},.,.,2,1,0,2,-1.16,-0.5,-0.081575246
1,3,2,-1,2,-1.16,2,0.05,2.100,2.22,2.32,21,2,{' .    '},.,.,3,0,1,3,-0.58,-0.5,-0.081575246
1,4,2,0,5,1.16,2,0.05,2.100,2.22,2.32,22,7,{'    . '},.,.,4,1,1,4,0.58,-0.5,0.081575246
1,5,2,-1,5,1.16,2,0.05,2.100,2.22,2.32,23,1,{'    . '},.,.,5,1,0,5,1.16,-0.5,0.081575246
1,6,2,0,2,-1.16,2,0.05,2.100,2.22,2.32,24,7,{' .    '},.,.,6,1,1,6,1.74,-0.5,-0.081575246
1,7,2,0,2,-1.16,2,0,2.050,2.17,2.27,25,7,{' .    '},.,.,7,1,1,,deg to norm,,-0.081575246
1,8,2,1,5,1.16,2,0,2.050,2.17,2.27,26,2,{'    . '},.,.,8,0,1,,14.22,,0.081575246
1,9,2,-1,2,-1.16,2,0.05,2.100,2.22,2.32,27,2,{' .    '},.,.,9,0,1,,,,-0.081575246
1,10,2,1,5,1.16,2,0.05,2.100,2.22,2.32,28,2,{'    . '},.,.,10,0,1,,,,0.081575246
1,11,2,1,2,-1.16,2,0,2.050,2.17,2.27,29,1,{' .    '},.,.,11,1,0,,,,-0.081575246
1,12,2,0,5,1.16,2,0,2.050,2.17,2.27,30,7,{'    . '},.,.,12,1,1,,,,0.081575246
1,13,2,1,5,1.16,2,0,2.050,2.17,2.27,31,2,{'    . '},.,.,13,0,1,,,,0.081575246
1,14,2,1,5,1.16,2,0.05,2.100,2.22,2.32,32,2,{'    . '},.,.,14,0,1,,,,0.081575246
1,15,2,-1,5,1.16,2,0.05,2.100,2.22,2.32,33,1,{'    . '},.,.,15,1,0,,,,0.081575246
1,16,2,-1,2,-1.16,2,0,2.050,2.17,2.27,34,2,{' .    '},.,.,16,0,1,,,,-0.081575246
1,17,2,1,2,-1.16,2,0.05,2.100,2.22,2.32,35,1,{' .    '},.,.,17,1,0,,,,-0.081575246
1,18,2,1,2,-1.16,2,0.05,2.100,2.22,2.32,36,1,{' .    '},.,.,18,1,0,,,,-0.081575246
