blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXDeg,fixOnset,cueTargetISI,TargetOnset,pstMaskOnset,RespOnset,trialNum,precueLocation,string,CxResp,CxResplowercase,overallTrialNum,Preq1Op,Preq2Op,Preq3Op,Preq4Op,Preq5Op,Preq6Op,positionss,positionx,positiony,pstCueCoordX
1,1,2,1,4,0.58,2,0.05,2.100,2.22,2.32,1,2,{'KVFNLY'},N,n,1,0,0,0,1,1,1,1,-1.74,-0.5,0.040787623
1,2,2,0,5,1.16,2,0.05,2.100,2.22,2.32,2,7,{'PNZHXT'},X,x,2,1,1,1,1,1,1,2,-1.16,-0.5,0.081575246
1,3,2,1,5,1.16,2,0.05,2.100,2.22,2.32,3,2,{'TVZFXH'},X,x,3,0,0,0,1,1,1,3,-0.58,-0.5,0.081575246
1,4,2,1,6,1.74,2,0,2.050,2.17,2.27,4,2,{'LFNKVT'},T,t,4,0,0,0,1,1,1,4,0.58,-0.5,0.122362869
1,5,2,-1,3,-0.58,2,0.05,2.100,2.22,2.32,5,2,{'TPZFLV'},Z,z,5,0,0,0,1,1,1,5,1.16,-0.5,-0.040787623
1,6,2,-1,2,-1.16,2,0,2.050,2.17,2.27,6,2,{'HLVYPK'},L,l,6,0,0,0,1,1,1,6,1.74,-0.5,-0.081575246
1,7,2,0,2,-1.16,2,0.05,2.100,2.22,2.32,7,7,{'YKPLZH'},K,k,7,1,1,1,1,1,1,,deg to norm,,-0.081575246
1,8,2,-1,6,1.74,2,0,2.050,2.17,2.27,8,1,{'HPBVTY'},Y,y,8,1,1,1,0,0,0,,14.22,,0.122362869
1,9,2,1,3,-0.58,2,0.05,2.100,2.22,2.32,9,1,{'KTHBFY'},H,h,9,1,1,1,0,0,0,,,,-0.040787623
1,10,2,1,5,1.16,2,0,2.050,2.17,2.27,10,2,{'TFKLHN'},H,h,10,0,0,0,1,1,1,,,,0.081575246
1,11,2,-1,4,0.58,2,0,2.050,2.17,2.27,11,1,{'VKXPBH'},P,p,11,1,1,1,0,0,0,,,,0.040787623
1,12,2,1,2,-1.16,2,0.05,2.100,2.22,2.32,12,1,{'NPFTHK'},P,p,12,1,1,1,0,0,0,,,,-0.081575246
1,13,2,0,3,-0.58,2,0,2.050,2.17,2.27,13,7,{'XNKFPB'},K,k,13,1,1,1,1,1,1,,,,-0.040787623
1,14,2,0,1,-1.74,2,0.05,2.100,2.22,2.32,14,7,{'KXFHBL'},K,k,14,1,1,1,1,1,1,,,,-0.122362869
1,15,2,-1,4,0.58,2,0.05,2.100,2.22,2.32,15,1,{'ZPXTBV'},T,t,15,1,1,1,0,0,0,,,,0.040787623
1,16,2,-1,3,-0.58,2,0,2.050,2.17,2.27,16,2,{'ZFTBHL'},T,t,16,0,0,0,1,1,1,,,,-0.040787623
